[21-Jun-2013 10:10:15] PHP Notice:  Undefined property: stdClass::$version in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 9
[21-Jun-2013 10:13:51] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 9
[21-Jun-2013 10:13:51] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 12
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 35
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 48
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 49
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 50
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 51
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 52
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 64
[21-Jun-2013 10:16:18] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 133
[21-Jun-2013 11:08:31] PHP Notice:  Undefined property: stdClass::$version in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 36
[21-Jun-2013 11:11:30] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 12
[21-Jun-2013 11:11:30] PHP Notice:  Trying to get property of non-object in H:\xampp\htdocs\Laybls-iOS\api\user\sign_up.php on line 34
[21-Jun-2013 14:31:59] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:31:59] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:32:06] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:32:06] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:32:18] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:32:18] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:32:19] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:32:19] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:33:49] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:33:49] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:35:02] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:35:02] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:35:07] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:35:07] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:36:26] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:36:26] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
[21-Jun-2013 14:37:01] PHP Warning:  number_format() expects parameter 1 to be double, string given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 16
[21-Jun-2013 14:37:01] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in H:\xampp\htdocs\Laybls-iOS\api\user\sign_in.php on line 29
